133	600
132	580
131	638
130	639
137	417
136	481
135	555
134	581
139	317
138	338
24	39834
25	31462
26	31429
27	43209
20	27703
21	58340
22	44414
23	46855
28	36965
29	53808
4	67638
8	32885
119	975
120	931
121	1163
122	995
123	984
124	914
125	857
126	722
127	705
128	633
129	625
118	1096
59	12116
58	14127
55	17305
54	17563
57	14640
56	17622
51	17370
50	7440
53	18699
52	16531
115	1526
114	1686
88	6128
89	5534
111	1939
110	1787
113	1806
112	1834
82	11342
83	10614
80	11187
81	11187
86	7639
87	6766
84	9037
85	7802
3	72011
7	91363
108	2108
109	1904
102	3092
103	3043
100	3605
101	3375
106	2321
107	2243
104	3117
105	2852
39	14996
38	19818
33	48190
32	58728
31	126068
30	100145
37	20701
36	20075
35	19972
34	42705
60	12152
61	10071
62	9386
63	7352
64	7437
65	6454
66	6554
67	6263
68	6021
69	5045
2	232902
6	87893
99	2970
98	3389
91	5183
90	6273
93	4189
92	5119
95	3858
94	4192
97	3571
96	4027
11	13633
10	23779
13	62193
12	55366
15	20209
14	26124
17	71857
16	18158
19	14777
18	28597
117	1040
116	1308
150	77
48	6901
49	6839
46	4863
47	6513
44	10523
45	6684
42	13442
43	7469
40	14986
41	15614
1	103206
5	66009
9	36283
146	136
147	108
144	160
145	133
142	218
143	195
140	309
141	256
148	75
149	47
77	9782
76	8770
75	8388
74	7525
73	7321
72	5783
71	5478
70	6005
79	10420
78	10952
